date,0,1,2,3,4,5,OT
2020-01-01 00:10:00,2.068,5.432,1.82,0.514,0.919,0.745,2.068
2020-01-01 00:20:00,2.073,5.542,1.821,0.85,0.919,0.74,2.073
2020-01-01 00:30:00,2.069,5.526,1.821,0.865,0.92,0.726,2.069
2020-01-01 00:40:00,2.07,5.524,1.821,0.853,0.914,0.711,2.07
2020-01-01 00:50:00,1.993,5.522,1.818,0.592,0.913,0.666,1.993
2020-01-01 01:00:00,1.985,5.493,1.818,0.445,0.912,0.665,1.985
2020-01-01 01:10:00,1.941,5.369,1.818,0.443,0.913,0.668,1.941
2020-01-01 01:20:00,1.798,5.05,1.819,0.443,0.913,0.721,1.798
2020-01-01 01:30:00,1.785,1.717,1.817,0.445,0.898,0.749,1.785
2020-01-01 01:40:00,1.805,1.337,1.807,0.47,0.798,0.799,1.805
2020-01-01 01:50:00,1.769,1.13,1.815,0.597,0.798,0.824,1.769
2020-01-01 02:00:00,1.728,1.129,1.815,0.575,0.797,0.834,1.728
2020-01-01 02:10:00,1.735,1.128,1.818,0.572,0.798,0.84,1.735
2020-01-01 02:20:00,1.869,1.128,1.82,0.547,0.797,0.82,1.869
2020-01-01 02:30:00,1.95,1.126,1.818,0.546,0.798,0.787,1.95
2020-01-01 02:40:00,1.943,1.126,1.812,0.593,0.797,0.764,1.943
2020-01-01 02:50:00,1.937,1.125,1.816,0.849,0.797,0.761,1.937
2020-01-01 03:00:00,1.959,1.125,1.815,1.022,0.797,0.764,1.959
2020-01-01 03:10:00,1.985,1.128,1.817,1.12,0.797,0.882,1.985
2020-01-01 03:20:00,2.242,1.128,1.301,1.013,0.798,1.16,2.242
2020-01-01 03:30:00,2.003,1.128,1.046,0.713,0.797,1.262,2.003
2020-01-01 03:40:00,2.224,1.129,1.005,0.61,0.798,1.086,2.224
2020-01-01 03:50:00,2.221,1.127,1.271,0.575,0.798,0.9,2.221
2020-01-01 04:00:00,2.103,1.128,1.167,0.571,0.798,0.907,2.103
2020-01-01 04:10:00,2.064,1.128,1.358,0.566,0.799,0.88,2.064
2020-01-01 04:20:00,2.073,1.136,1.885,0.567,0.799,0.844,2.073
2020-01-01 04:30:00,2.054,1.135,1.984,0.569,0.799,0.828,2.054
2020-01-01 04:40:00,2.02,1.134,1.987,0.562,0.799,0.83,2.02
